시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타_1,공작물충돌,도로이탈,전도전복,기타_2,횡단중_3,차도통행중_4,길가장자리구역통행중_5,보도통행중_6,기타_7,충돌_8,추돌_9,기타_10,공작물충돌_11,도로이탈_12,전도전복_13,기타_14,횡단중_16,차도통행중_17,길가장자리구역통행중_18,보도통행중_19,기타_20,충돌_21,추돌_22,기타_23,공작물충돌_24,도로이탈_25,전도전복_26,기타_27,횡단중_29,차도통행중_30,길가장자리구역통행중_31,보도통행중_32,기타_33,충돌_34,추돌_35,기타_36,공작물충돌_37,도로이탈_38,전도전복_39,기타_40,횡단중_42,차도통행중_43,길가장자리구역통행중_44,보도통행중_45,기타_46,충돌_47,추돌_48,기타_49,공작물충돌_50,도로이탈_51,전도전복_52,기타_53
경북,상주시,사고[건],34,6,15,3,17,361,88,32,36,10,20,8,20,9,8,2,19,285,104,40,26,8,21,2,11,15,10,4,19,205,81,98,21,9,12,7,19,6,7,3,17,225,90,36,18,11,11,2,18,22,10,2,16,181,83,63,20,10,3,3
경북,상주시,사망[명],2,1,1,0,3,8,2,0,5,1,3,0,7,2,2,0,3,4,8,3,3,0,6,0,2,1,1,1,1,8,6,0,2,4,2,2,0,1,0,0,2,9,4,1,4,2,0,0,2,1,1,0,2,2,4,1,0,3,0,1
경북,상주시,부상[명],36,5,15,3,16,546,152,36,40,13,22,9,13,7,7,2,16,443,182,50,33,10,17,2,10,14,9,3,18,278,164,159,21,7,13,5,21,5,7,3,15,297,214,48,15,12,15,2,17,21,10,3,16,261,157,86,23,8,3,2
경북,군위군,사고[건],7,3,3,-,10,67,16,16,8,2,1,2,7,-,-,-,,46,15,28,3,2,4,1,4,-,5,-,1,67,22,5,6,8,1,-,1,-,-,1,3,43,23,10,9,1,-,2,1,1,-,-,6,24,4,3,3,3,2,2
경북,군위군,사망[명],2,0,1,-,0,4,2,7,0,2,0,0,0,-,-,-,,1,1,1,1,1,0,0,1,-,0,-,0,1,3,1,0,0,0,-,0,-,-,0,0,1,1,1,1,0,-,0,0,0,-,-,1,1,0,0,0,1,0,0
경북,군위군,부상[명],5,3,2,-,11,98,44,49,9,0,1,5,7,-,-,-,,74,29,37,2,1,6,1,3,-,5,-,1,107,44,6,6,15,1,-,1,-,-,1,4,73,53,22,8,1,-,2,1,1,-,-,6,35,8,3,4,2,2,2
경북,의성군,사고[건],14,6,3,1,8,125,28,29,11,6,7,3,6,6,1,3,11,114,44,12,19,10,7,-,7,1,8,-,8,122,27,13,15,1,4,3,10,4,10,-,15,111,27,11,21,7,4,3,4,6,7,-,15,98,27,27,16,6,6,6
경북,의성군,사망[명],3,1,0,0,1,6,5,1,1,1,1,0,1,0,0,0,1,7,1,1,1,3,1,-,1,0,1,-,3,2,4,0,3,0,0,0,3,0,1,-,0,1,1,0,3,0,0,0,0,0,0,-,0,2,0,0,0,0,0,0
경북,의성군,부상[명],11,5,3,1,7,200,43,36,12,6,6,4,5,6,1,3,11,187,65,21,25,7,7,-,6,1,7,-,7,195,37,22,17,1,5,5,9,4,9,-,17,165,44,16,21,12,5,3,4,6,10,-,15,147,55,40,17,7,7,6
경북,청송군,사고[건],4,,3,1,2,48,10,4,12,3,2,-,5,-,4,-,4,28,2,,13,2,2,-,7,7,2,-,3,41,5,-,6,-,3,-,3,5,2,-,2,47,15,1,6,5,7,-,8,-,-,-,12,64,13,,5,3,4,4
경북,청송군,사망[명],2,,0,0,0,3,1,0,1,0,0,-,2,-,0,-,0,2,0,,0,1,0,-,2,0,0,-,0,2,0,-,4,-,1,-,0,1,0,-,0,0,0,0,1,0,0,-,1,-,-,-,0,4,0,,0,0,0,1
경북,청송군,부상[명],4,,3,1,2,82,12,6,11,3,2,-,3,-,5,-,4,50,3,,13,1,2,-,5,7,2,-,3,59,8,-,4,-,2,-,3,4,2,-,2,80,20,2,5,7,7,-,7,-,-,-,12,114,23,,6,3,6,4
경북,영양군,사고[건],5,3,4,-,3,29,2,4,4,4,4,2,4,1,3,-,1,41,9,1,10,7,1,1,-,5,5,1,,33,11,1,4,1,2,-,5,3,1,-,1,16,7,8,3,-,3,-,3,1,-,-,7,23,7,9,5,2,1,4
경북,영양군,사망[명],0,0,1,-,0,0,0,0,0,0,1,0,0,1,0,-,0,0,0,0,0,0,1,0,-,0,1,0,,1,0,0,0,1,0,-,0,1,0,-,0,2,0,0,0,-,0,-,1,0,-,-,0,1,0,0,4,2,0,0
경북,영양군,부상[명],5,3,3,-,3,57,2,6,7,4,3,2,4,0,3,-,1,69,16,1,11,8,0,1,-,6,4,1,,65,16,1,4,0,2,-,5,2,1,-,1,26,10,13,4,-,4,-,2,1,-,-,7,38,14,15,2,0,1,4
경북,영덕군,사고[건],6,6,8,3,15,109,44,10,16,3,8,6,8,10,8,-,12,113,39,18,11,2,5,3,5,9,7,1,16,128,51,6,12,10,2,11,5,6,7,2,10,113,37,11,11,7,4,7,10,11,5,-,6,122,40,9,16,10,5,3
경북,영덕군,사망[명],1,1,0,1,0,2,0,0,2,1,1,0,0,3,0,-,1,3,1,0,0,0,1,0,0,0,0,0,3,0,1,1,1,1,0,0,1,2,1,0,0,1,1,0,2,1,0,1,1,0,0,-,0,3,0,0,4,0,0,0
경북,영덕군,부상[명],5,6,8,2,15,178,82,16,15,3,8,6,9,7,8,-,11,207,105,26,12,2,6,3,6,9,7,1,14,218,102,10,13,11,3,11,6,4,6,4,13,208,60,14,13,9,6,7,10,11,5,-,7,213,96,11,13,12,5,3
경북,청도군,사고[건],12,7,2,1,4,129,17,10,11,6,8,5,6,5,2,2,9,100,26,9,9,2,4,1,4,4,2,-,8,106,31,5,8,4,4,2,7,1,8,1,14,103,30,19,4,6,4,2,8,1,4,1,11,90,35,15,5,5,8,6
경북,청도군,사망[명],1,0,0,0,1,5,1,0,1,2,1,1,1,0,1,1,0,6,3,0,1,1,0,0,0,0,1,-,0,3,1,0,2,1,2,0,0,0,0,0,1,1,0,0,0,2,1,1,2,0,0,0,0,1,1,0,1,1,0,2
경북,청도군,부상[명],11,7,2,1,3,207,47,12,13,6,9,5,5,5,1,1,9,150,56,15,12,1,5,1,4,5,1,-,8,152,44,6,8,3,2,2,7,1,8,1,14,160,48,31,4,4,3,1,6,1,4,1,11,140,64,20,4,7,11,4
경북,고령군,사고[건],6,3,3,1,4,102,24,8,6,-,4,2,11,6,-,-,5,80,28,12,7,1,4,2,6,3,5,-,14,81,35,17,10,3,1,2,3,3,3,-,10,51,30,29,11,4,4,6,3,4,3,1,11,44,17,24,3,1,3,-
경북,고령군,사망[명],0,0,0,0,0,3,1,0,0,-,0,0,1,0,-,-,0,2,3,0,1,0,0,0,2,0,0,-,1,1,2,0,2,0,0,1,0,0,0,-,1,0,0,4,3,1,0,2,1,0,0,0,0,1,0,2,0,1,1,-
경북,고령군,부상[명],6,4,3,1,4,159,39,12,8,-,4,2,10,6,-,-,5,124,42,16,8,1,5,2,4,4,5,-,14,128,56,21,9,3,1,2,3,3,3,-,10,74,54,46,11,3,4,11,2,4,3,1,14,67,27,28,3,0,2,-
경북,성주군,사고[건],5,4,-,-,22,117,34,63,17,9,9,9,8,4,1,-,19,90,36,66,13,3,5,9,6,3,6,-,18,88,30,77,11,2,3,3,7,7,5,-,21,90,41,62,19,7,11,8,5,4,3,-,15,74,28,63,15,4,6,7
경북,성주군,사망[명],0,0,-,-,2,4,2,1,1,1,0,0,1,0,0,-,1,2,3,0,1,0,1,0,1,1,0,-,2,0,4,2,1,0,0,0,1,3,0,-,0,1,2,0,2,2,1,1,1,0,0,-,2,0,5,1,0,0,0,1
경북,성주군,부상[명],6,4,-,-,21,178,61,94,18,12,12,10,7,4,1,-,18,125,68,112,16,4,5,12,5,2,6,-,17,127,63,120,16,2,3,5,8,4,5,-,22,159,68,94,24,5,12,9,5,5,4,-,13,139,43,102,17,6,7,6
경북,칠곡군,사고[건],55,10,11,4,28,404,135,67,47,1,7,12,28,15,8,5,18,365,127,107,58,3,10,8,29,18,9,9,26,362,125,80,37,4,11,3,25,16,11,4,20,367,137,47,33,3,7,6,23,4,4,5,17,327,96,44,15,1,6,5
경북,칠곡군,사망[명],3,1,0,0,1,4,3,2,2,0,1,0,1,2,0,1,0,5,4,0,1,1,0,0,2,2,2,0,0,3,4,2,3,0,0,2,1,0,0,0,1,1,2,0,2,0,0,0,1,0,0,0,0,3,3,1,5,0,0,0
경북,칠곡군,부상[명],58,12,16,4,28,653,300,92,48,1,11,13,32,16,9,5,18,583,242,141,67,2,10,10,28,17,9,10,33,590,262,109,41,4,12,1,25,16,11,4,19,623,266,60,32,3,8,6,24,4,4,5,19,494,169,68,10,1,6,6
경북,예천군,사고[건],3,14,-,-,7,130,29,3,10,5,4,1,5,13,-,2,5,118,14,7,13,2,6,6,10,14,-,-,5,95,26,8,7,6,4,5,4,10,1,1,4,84,23,13,8,3,3,1,7,6,2,1,11,73,18,2,5,5,6,1
경북,예천군,사망[명],0,0,-,-,0,4,1,0,0,1,0,0,2,3,-,0,1,3,0,0,2,1,0,1,0,1,-,-,0,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,3,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0
경북,예천군,부상[명],3,17,-,-,7,199,52,3,12,8,4,1,5,10,-,2,4,183,29,8,17,6,6,5,11,13,-,-,9,129,41,9,7,11,3,5,4,11,1,1,4,111,38,13,7,3,2,2,7,6,2,1,11,105,27,2,9,8,6,2
경북,봉화군,사고[건],3,3,1,-,9,44,18,28,20,7,8,8,5,-,1,-,12,53,17,26,6,6,7,3,2,-,1,1,6,40,8,13,7,1,1,3,2,3,-,-,9,37,10,28,2,1,2,5,3,-,1,-,16,41,16,22,6,4,4,8
경북,봉화군,사망[명],0,0,0,-,0,1,0,2,1,1,0,0,2,-,1,-,1,1,0,0,0,0,3,1,2,-,0,0,1,3,0,1,1,1,0,2,0,0,-,-,1,0,1,0,0,0,2,2,0,-,0,-,1,4,1,0,0,0,0,2
경북,봉화군,부상[명],3,3,1,-,9,78,47,43,28,7,9,11,3,-,0,-,11,90,24,42,9,8,7,2,0,-,1,1,5,81,12,21,6,1,1,1,2,3,-,-,9,63,13,38,2,1,0,3,3,-,1,-,15,69,26,37,7,4,7,6
경북,울진군,사고[건],11,2,2,2,9,93,18,11,11,8,3,1,10,2,2,-,11,47,19,14,12,4,3,3,6,1,9,-,5,39,13,1,5,7,4,3,7,6,4,-,8,61,28,9,13,2,6,-,12,5,6,-,10,77,21,13,23,2,4,2
경북,울진군,사망[명],3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,-,1,0,1,1,1,2,0,2,1,0,1,-,1,0,0,0,1,0,0,1,0,0,1,-,0,3,1,1,3,0,1,-,1,0,0,-,0,3,1,0,0,0,0,0
경북,울진군,부상[명],8,2,2,2,9,131,31,26,13,8,3,0,13,2,2,-,12,62,40,18,14,3,3,1,5,1,8,-,4,63,18,1,5,10,4,2,7,6,5,-,10,128,55,11,12,2,8,-,12,5,6,-,12,124,47,17,28,3,7,2
