사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-07,3호선,0322,동대입구,17,3,1778,1163,2743,10706,5943,18201,9075,58087,7588,34043,7752,22886,10712,17499,10722,17369,15608,19048,14191,15217,17072,15363,25169,15188,35055,17525,45232,19692,20159,10735,26332,6407,20383,5991,12774,4770,3441,3039,456,1157,1,60,0,0,0,0
2024-07,3호선,0323,약수,129,4,6837,1140,11053,6814,27702,15517,39656,36197,27389,23192,19673,16109,18472,16388,20860,15985,20378,17498,19933,18239,21128,19628,22206,23765,27626,30713,34575,45741,19846,27915,16592,18913,15965,16507,11833,15276,5178,8664,965,3473,3,605,0,0,0,0
2024-07,3호선,0324,금호,61,6,4695,635,10736,2556,29425,4928,40317,9510,24154,7249,14764,7363,12774,7711,12180,9016,11655,10052,9927,10899,10149,13086,11167,16037,12170,21484,11518,32396,8893,22479,6356,14947,4457,13228,3597,12805,1667,6523,322,1898,0,0,0,0,0,0
2024-07,3호선,0325,옥수,186,3,3464,1022,10024,4442,24264,7854,33600,13370,22485,11140,15795,8709,13860,10398,13520,11510,13599,13069,13624,13716,13712,16037,15074,18996,16961,25615,17130,36536,11408,25493,9422,16629,8701,14935,5800,14108,2502,6804,470,1885,1,1,0,0,0,0
2024-07,3호선,0326,압구정,44,1,2936,2581,8678,25406,16410,54194,25822,158075,21624,160163,26406,83031,32647,67097,40472,55615,46354,58194,54435,50591,64439,48505,76840,46980,105643,57314,148432,61265,97958,33534,76039,17871,57079,14046,40433,11992,12105,6258,1990,2155,5,231,0,0,0,0
2024-07,3호선,0327,신사,52,4,3743,1785,6875,17762,11962,45614,18792,116844,16562,146603,19836,69518,26010,47922,28986,44147,34532,48395,41244,43188,49011,38683,59786,43024,93748,51983,133465,67347,90879,34930,60371,18267,61577,14534,50909,11675,22437,7555,3617,3445,1,3,0,0,0,0
2024-07,3호선,0328,잠원,2,0,1447,799,5215,8713,14378,7921,20317,10180,11792,6918,8519,4768,8657,5253,8822,6348,8000,7272,6904,6911,8843,7897,12246,8077,12929,11248,9823,15463,5430,10762,4017,7171,3827,7129,2332,8275,809,3826,180,1193,0,0,0,0,0,0
2024-07,3호선,0329,고속터미널,153,0,5364,3829,7867,33207,28375,47448,48673,77628,55683,97819,56738,105624,70381,113681,85757,105164,95670,103817,109273,106659,126243,108941,138094,106951,152216,115592,144567,120511,119663,73979,132545,47665,80567,37398,49020,27410,16399,12239,1941,2535,0,1,0,0,0,0
2024-07,3호선,0330,교대(법원.검찰청),84,1,1754,943,4868,7401,11371,23207,16543,55816,13969,41683,15508,19024,18992,13803,21941,12916,26519,13374,30433,11877,31648,11110,35357,12560,57427,17505,78319,21725,34751,11237,30718,6290,30601,5412,26692,4760,9630,2664,1548,905,0,0,0,0,0,0
2024-07,3호선,0331,남부터미널(예술의전당),36,2,3417,1472,9981,28947,30529,72047,47225,171495,38105,92568,36084,50488,39059,37759,40090,39370,42237,44507,44140,44129,49196,43588,65445,45413,113850,53920,144208,62261,62600,40371,43570,25041,38577,19884,29167,16581,8510,9762,1023,2753,0,4,0,0,0,0
2024-07,3호선,0332,양재(서초구청),55,24,5813,3114,15105,44557,38514,118637,49800,248600,33115,128497,31049,56284,33630,46000,38057,42506,42587,47437,48320,41342,57275,39835,74731,46655,139250,64947,203730,81072,90432,51961,64924,32903,61781,28269,39300,25210,13799,12806,1533,3711,1,17,0,0,0,0
2024-07,3호선,0333,매봉,23,0,1842,765,7602,9595,20713,27968,23691,83885,16387,35989,14835,16871,14977,15152,15908,14265,16339,14106,17684,13251,20321,14080,24089,15451,43511,20795,67296,27032,21778,17545,16476,10344,17091,9315,10420,8892,3272,4410,503,1507,0,47,0,0,0,0
2024-07,3호선,0334,도곡,71,5,1109,298,4454,4358,12193,15181,14695,22214,9324,17396,7735,8010,7663,7328,7899,7383,7959,7556,8704,7258,10368,7495,12417,7962,18593,10214,19525,13548,9589,10456,6823,6228,6256,5862,4722,5496,1420,2886,266,1702,3,357,0,0,0,0
2024-07,3호선,0335,대치,33,0,2959,578,13592,8532,30535,23980,30651,33828,18395,23327,14907,15855,14761,14897,17492,19503,18194,23280,16913,19815,18569,20903,21768,25246,34744,32631,32727,35083,19771,25143,14767,14189,18718,14166,40734,12201,3937,6656,506,2170,0,0,0,0,0,0
2024-07,3호선,0336,학여울,2,0,609,348,2329,1822,4877,3924,4916,8769,3615,5745,2813,4432,3148,3272,3617,3489,3660,3837,3696,3795,4531,3624,5738,3491,7128,4364,8006,4950,2682,3902,2022,2675,1828,2329,1238,2124,352,1110,29,369,0,0,0,0,0,0
2024-07,3호선,0337,대청,125,1,3885,1185,13419,7410,34148,19628,41800,28700,23189,13729,16763,9648,15285,9221,15063,10857,15702,11913,14489,12623,16512,14901,19570,16655,26819,23112,28346,32699,12602,25908,8896,17829,6757,16082,5285,17190,1979,8779,366,3069,0,1,0,0,0,0
2024-07,3호선,0338,일원,11,1,2498,1728,9600,12457,27408,36788,26695,28132,19628,21049,19665,18056,19067,13610,18529,16600,16757,17026,18707,16005,23265,14517,31697,13911,39690,16604,19563,23642,11052,19258,6841,12630,5275,11926,3329,12248,1289,5047,183,1813,0,47,0,0,0,0
2024-07,3호선,0339,수서,77,4,4995,2416,14241,17098,41031,36102,48919,59845,33162,36456,36465,24634,28813,22435,34361,26870,30043,23402,24446,24291,33756,28498,37517,32062,48228,39670,55017,56032,24617,41117,24413,27597,16354,22987,14852,21772,7106,9090,723,3457,0,243,0,0,0,0
2024-07,3호선,0340,가락시장,70,10,3153,716,7811,6734,22882,13070,24040,29576,16848,14653,15053,10509,14185,11041,14350,12277,13558,12594,13617,12791,15092,14611,16427,15486,22252,20000,30939,26993,12586,18618,9710,12401,8299,10446,5609,10384,2172,5144,459,1840,1,40,0,0,0,0
2024-07,3호선,0341,경찰병원,5,0,3189,300,9067,3771,25998,10982,28591,32009,16112,17208,12122,9573,11165,7741,10153,8577,10510,10766,10559,9324,11925,9595,11770,10450,18311,16974,22921,25212,8019,18915,6182,11352,5386,9948,3819,9139,1131,5282,157,1599,0,0,0,0,0,0
2024-07,3호선,0342,오금,27,1,4762,77,10137,2388,32759,6390,34721,14873,16796,6514,9920,5393,8241,4998,8657,6025,8126,6464,7196,6750,6931,8723,8636,10133,11429,15263,13466,25159,5088,16257,3824,11271,3167,9802,2505,11367,960,5268,128,2189,0,0,0,0,0,0
2024-07,4호선,0409,당고개,81,0,9188,60,19081,4971,49560,7331,37837,11333,23231,11037,16620,9851,14490,10033,15263,9907,14505,10425,13212,11694,12404,13659,13796,16477,14012,19418,12964,28989,8297,25894,5716,17408,4650,15517,3133,14152,1517,9597,349,3625,0,430,0,0,0,0
2024-07,4호선,0410,상계,46,3,16682,331,43053,6729,93741,17087,76725,22957,44764,17236,31139,15246,28522,17176,30268,21227,27956,21573,23926,23007,23951,28048,25647,35243,26630,46159,25399,69814,15821,64284,12814,38304,11520,32740,12265,30006,3842,19925,693,6306,2,603,0,0,0,0
2024-07,4호선,0411,노원,261,5,15150,1765,30919,16898,74264,37234,83170,66806,48960,55007,39589,40618,40486,40010,45716,45964,44761,48624,43610,47756,48409,51485,52377,62081,57434,77413,63189,117279,46552,84364,40589,50957,36922,42941,33988,39498,14215,25008,3393,8086,7,858,0,0,0,0
2024-07,4호선,0412,창동,2332,72,18195,2653,42742,13467,95694,21179,84317,49348,50995,38459,42443,33030,41392,32189,42537,38463,39802,44112,37789,45235,42274,48211,48745,55884,49372,68895,52875,100231,30292,80590,24149,48816,21751,42355,16599,38325,7104,23230,1492,8221,1,188,0,0,0,0
2024-07,4호선,0413,쌍문,233,20,26545,1346,58794,9728,132976,16514,134924,31208,79055,23037,52882,21425,45349,23446,47113,27795,42464,29740,36576,32992,36080,43936,38478,53609,39063,73048,36299,112372,23320,101448,17560,60831,13621,54393,10358,50161,4573,31421,734,10081,0,84,0,0,0,0
2024-07,4호선,0414,수유(강북구청),133,5,23236,3276,48787,11113,116300,21949,127404,58007,79817,41519,54997,31551,50526,33760,53798,35954,51345,40575,47943,43658,47641,53826,52026,66408,56219,86175,64289,130033,38611,109862,30036,69608,26307,61169,20485,58211,11284,36307,2074,10179,1,0,0,2,0,0
2024-07,4호선,0415,미아(서울사이버대학),33,1,11924,1877,22327,7640,48908,17151,54919,36934,34506,21980,26581,17341,23817,16887,26966,16944,24216,19248,21901,20399,21811,25055,27945,28866,27892,35071,30299,49197,17266,39837,12056,24079,10805,22384,7552,19588,2713,12848,441,3707,0,0,0,0,0,0
2024-07,4호선,0416,미아사거리,83,2,16273,3091,39084,8747,95270,21054,104035,36032,62620,32945,43458,28722,39873,31352,42376,33652,41812,35069,39514,38340,43544,47639,47148,55829,43253,71773,44393,106180,31583,80521,30712,48057,18127,42452,13334,38562,6406,21994,1146,5377,0,0,0,0,0,0
2024-07,4호선,0417,길음,16,4,11211,1798,36925,7753,94907,14306,95570,29095,52185,22692,34548,18462,30054,19013,30690,24692,29346,26607,26766,27233,28235,31346,32533,39038,32867,54848,31706,85188,17657,65752,14201,40471,10718,36690,10246,36675,3683,20954,665,6028,0,0,0,0,0,0
2024-07,4호선,0418,성신여대입구(돈암),31,6,6445,1944,20909,7956,51613,17865,57136,34984,39105,31591,30063,22921,30149,24059,35016,28996,35616,30745,33374,30671,34857,33738,39934,41986,44744,53610,48014,71445,31534,56636,27864,36150,28563,32964,25320,31264,11240,20084,2163,6412,0,0,0,0,0,0
2024-07,4호선,0419,한성대입구(삼선교),74,0,7111,1320,14374,8798,31876,17959,39130,29157,27189,24178,20552,17034,19488,16865,22412,17767,22278,18183,21480,18321,22607,19968,30557,22959,30998,28786,29924,38121,16388,29473,14044,19761,12651,18487,9773,18154,4191,10837,705,5468,0,1500,0,0,0,0
2024-07,4호선,0420,혜화,19,3,3574,2140,8096,23569,18710,53326,22522,124160,26380,85752,33040,64338,39655,61190,40618,74162,41303,92863,53444,78207,75658,62375,88508,64132,114518,72043,121876,86855,69648,58302,70414,21409,104171,19923,95019,18131,29792,10724,3954,3520,2,521,0,0,0,0
2024-07,4호선,0421,동대문,208,6,4608,2396,3109,15315,5450,35886,8063,72451,13436,67168,20059,64384,27508,56148,33971,49910,39049,45723,49202,43480,57730,35900,71825,28527,92303,21936,63589,19561,34900,19977,26760,14682,24194,10157,19284,7420,8026,5810,1446,1468,2,113,0,0,0,0
2024-07,4호선,0422,동대문역사문화공원(DDP),362,6,6647,1508,4656,14710,8907,31686,13132,73025,17549,43287,20152,33742,24719,31708,25910,30299,27936,29914,35391,29830,40765,26641,49573,24720,70747,26420,83780,28667,46138,29806,38017,20405,34914,17572,27723,14900,14427,9839,2854,3021,7,188,0,0,0,0
2024-07,4호선,0423,충무로,69,5,3318,3147,5653,23468,12690,66363,22164,187819,26816,104317,31239,53578,35738,43848,34987,40997,39310,43965,43101,36979,47876,34630,59596,38271,104977,43645,162917,50113,68065,32737,52859,21970,49554,22513,37597,21361,19528,14523,3644,4408,8,264,0,1,0,0
2024-07,4호선,0424,명동,23,2,1529,1485,3836,24450,8515,56072,15704,131844,28792,91510,36226,63360,42392,63414,43145,66392,46514,69525,53833,66111,65670,65566,80032,68364,97823,69439,142913,66632,79890,53054,73067,42521,71583,31576,67058,18822,27904,10481,2035,2955,0,120,0,0,0,0
2024-07,4호선,0425,회현(남대문시장),23,0,1365,950,3489,22418,5199,60583,9442,161754,13008,106966,19208,82752,30719,75297,40486,59752,50713,53607,60421,47379,70625,39539,86210,30357,116736,24889,132363,20372,60791,12140,56516,7098,22051,6720,12886,5886,4772,3720,555,1101,2,80,0,0,0,0
2024-07,4호선,0426,서울역,275,19,4807,968,6752,16135,12805,45510,17060,101605,15327,62756,14111,34375,16615,33758,17261,36855,16909,36796,17490,33480,19231,35984,24427,38382,53894,42870,69872,43502,26285,32572,17165,23446,15539,21974,10956,18699,5038,9436,631,2658,1,227,0,0,0,0
2024-07,4호선,0427,숙대입구(갈월),8,1,3434,565,8808,8666,19221,26081,28783,54088,21390,31514,17492,17982,17822,18587,20986,18585,21215,19920,21715,19395,22768,19905,29037,23358,42649,31260,52250,41901,25087,27120,22842,17599,23163,15415,19403,15032,9218,9285,1190,2269,0,6,0,0,0,0
2024-07,4호선,0428,삼각지,7,0,555,391,2190,5600,7762,13659,11719,22698,7032,13043,5721,9782,5883,10807,7112,12880,8196,12808,9304,10383,9857,11421,11277,13521,17338,18975,26099,26806,12168,15939,12752,8205,15395,6506,14168,5494,7493,3525,964,1315,0,10,0,0,0,0
2024-07,4호선,0429,신용산,12,2,1541,1380,4122,15048,12761,45248,19116,107306,16042,77034,15166,35203,19794,32599,21217,33922,25960,34317,26422,31255,35323,32359,46959,35864,75255,43973,108911,53290,51073,31095,42868,18206,42855,13670,31399,9835,13889,5097,1690,1267,1,20,0,0,0,0
2024-07,4호선,0430,이촌(국립중앙박물관),29,3,1442,1005,5425,8118,13744,14331,18713,27927,12640,24288,9775,22158,12631,18979,18826,19620,17101,23156,18589,21344,22942,18715,30887,16646,32765,17506,30733,23087,11124,15201,9145,9885,8176,9259,4374,7568,1753,4149,201,1361,0,19,0,0,0,0
2024-07,4호선,0431,동작(현충원),15,5,216,408,659,2888,1959,3324,2185,5191,2042,3140,1711,2196,1802,1687,1797,1762,1558,2328,1819,2100,2565,2091,3346,2075,5053,2697,5174,3880,2405,2976,2507,2945,2333,1295,1470,850,629,556,81,279,0,94,0,0,0,0
2024-07,4호선,0432,총신대입구(이수),94,10,6430,1228,18675,10864,51088,19492,63323,45303,38891,31933,28515,27159,27905,25939,30497,27610,31946,31705,29400,32583,30922,37310,33085,43786,38491,57258,45727,83271,27458,49791,25594,29838,21573,26174,17954,22908,8234,12936,1179,3360,2,637,0,0,0,0
2024-07,4호선,0433,사당,199,40,11256,1288,30128,18243,73629,25675,85501,37497,62364,26379,41723,24464,33207,31921,36992,31315,37392,29306,36361,29067,36964,33874,39884,44766,48851,69089,53039,102658,34228,62300,31738,38098,35629,33800,32003,31651,16186,20128,1834,5907,4,610,0,0,0,0
2024-07,4호선,0434,남태령,17,0,744,48,1031,2043,2619,5356,3792,5815,2937,2194,2239,1290,2224,1148,2225,1270,2041,1398,1962,1347,2663,1504,3830,1815,5427,1755,4030,2112,1612,1843,1106,1503,725,1092,476,978,166,623,26,149,0,0,0,0,0,0
2024-07,경부선,1001,서울역,9,4,51,648,174,5472,11925,8385,24164,9911,17717,7500,17241,6382,19349,3998,21515,5626,18062,5317,10448,4868,20502,5889,18061,6133,21228,9540,24649,10662,20962,6526,13704,4633,19918,4112,14797,3183,8886,818,1141,33,0,1,0,0,0,0
2024-07,경부선,1002,남영,118,3,2743,1613,5474,9359,14649,26323,20486,53663,12663,27337,9891,12233,9968,10900,11874,11340,11478,12026,12349,10876,14238,11484,19486,13648,33624,17625,42078,25713,16787,15754,14795,10393,14116,9801,11280,8714,4598,4975,275,1170,0,0,0,0,0,0
2024-07,경부선,1003,용산,623,14,4879,5355,6239,36093,23484,88940,35026,160730,39477,118217,37413,87879,54050,80585,52261,83614,67967,85029,56389,81183,97596,81808,112427,80573,136355,90309,170396,94768,110827,62977,108040,41056,105777,29587,67985,16832,26716,7228,1222,1979,0,0,0,0,0,0
2024-07,경부선,1004,노량진,625,5,5023,1883,7271,5369,18512,8132,25083,14865,12971,10613,9672,7905,10261,8817,10837,9668,12310,10025,11890,9544,11774,10908,13779,14700,16474,22809,16753,36477,12317,20155,12588,12308,13320,11738,12588,10206,4555,6557,273,1324,0,1,0,0,0,0
2024-07,경부선,1005,대방,600,21,5373,2133,9910,9368,26054,34968,31634,45088,17353,20473,13408,11208,12803,11137,14032,11897,13876,13654,13808,11726,15038,13031,16717,15756,31091,22728,40184,35156,13899,20648,10471,14665,8796,14393,5829,12674,1972,7433,163,1624,0,2,0,0,0,0
2024-07,경부선,1006,영등포,4427,127,16438,6856,17630,25563,44590,64550,59126,141001,40748,97590,40885,77900,46780,86637,56189,93968,60483,98233,62917,81285,89659,78226,106157,79649,129423,90733,170400,112617,100243,67839,97069,39905,74927,32439,56728,27244,23267,14914,785,3705,0,1,0,0,0,0
2024-07,경부선,1007,신도림,439,9,2455,938,3765,3183,9910,7673,11473,16428,6062,7694,4332,5184,4335,5078,4393,5198,4431,5988,4488,5065,4928,5963,6486,7386,10184,10740,14905,15276,6436,8237,5965,5098,4918,4662,5063,3627,1664,2282,100,1176,0,1,0,0,0,0
2024-07,경부선,1032,신길,1037,3,10109,1482,11550,5005,24721,18188,34190,28077,18101,10435,11144,6756,9989,6639,12001,7504,10447,8284,9412,7727,10281,9383,12978,11335,19959,16003,29775,23487,10395,15823,7767,10952,6681,11876,5017,10604,1831,5872,92,1462,0,0,0,0,0,0
2024-07,경부선,1701,구로,12540,67,22021,4515,19660,14323,39357,34421,37369,73867,26021,40690,20538,27701,20913,25110,22742,23025,23416,24620,24540,22093,28855,24065,33910,29191,54622,37527,58323,44019,25010,29914,20396,20327,17506,19694,12311,17452,4419,12603,45,10286,0,3,0,0,0,0
2024-07,경부선,1702,가산디지털단지,1506,13,7369,2828,7934,12559,15705,65123,16914,166430,11445,79647,10598,24463,11798,16077,13772,16646,15035,16286,15814,15297,18998,14889,29307,18826,80829,24368,117685,29830,45886,21030,27491,13300,22107,12476,13986,11783,6085,6617,261,1122,0,0,0,0,0,0
2024-07,경부선,1703,금천구청,783,4,12506,1684,20073,6747,46536,16685,42420,31650,23387,12262,16598,9065,14687,9613,15562,11934,13832,13352,12873,12365,12823,16587,15283,20090,16957,29499,27791,46533,11210,32176,8472,16972,7142,17479,4564,14459,1593,8588,47,688,0,0,0,0,0,0
2024-07,경부선,1704,석수,458,0,8210,2786,17786,6308,37934,12232,33760,14888,18543,9648,12966,7192,11486,5803,11654,6830,10596,7579,9648,8303,11330,10424,12665,12771,16415,20152,15383,32696,8419,24669,6198,14785,4588,14457,3244,12428,1238,7130,66,491,0,0,0,0,0,0
2024-07,경부선,1705,관악,297,0,8703,1780,14815,4059,35478,7833,29594,12721,14981,9543,10274,9359,9227,7417,10800,7708,10085,7429,9139,8001,9593,9036,11373,11827,11986,17603,11490,30602,6417,22340,5021,12732,4641,11844,2663,9840,1112,7152,84,623,0,0,0,0,0,1
2024-07,경부선,1706,안양,405,5,16427,3726,36528,13851,88240,22542,72919,34596,40203,24454,28577,22266,28366,25526,30615,25903,30009,30133,28989,27226,32203,34499,41162,39944,37676,54721,35508,87893,22568,63301,19431,36914,18174,30376,13640,24673,6137,17888,350,2451,1,1,0,0,0,0
2024-07,경부선,1707,명학,192,5,7101,2081,12026,8834,27462,27964,22316,53762,11518,14227,7920,7001,8277,5593,8942,6468,9232,7343,8819,6304,9754,7013,13313,8799,26132,12002,38485,21198,10938,17905,9587,9625,6405,8144,3697,8006,1728,5855,112,1178,0,0,0,0,0,0
2024-07,경부선,1708,금정,690,16,24641,5452,42224,22424,96135,51013,91824,100224,52234,38184,36006,23702,33381,24270,34942,26054,33462,28047,30706,28645,33792,37267,42612,44553,71181,64759,82566,99276,37264,75634,29354,45197,24536,45178,16716,37313,8010,25329,585,8815,0,0,0,0,0,0
2024-07,경부선,1709,군포,37,1,5211,2841,9392,10286,19952,35548,17396,41378,9656,8144,7264,5010,7278,4412,7181,5176,6978,5596,6473,5421,7270,6411,10144,7517,25264,10335,34858,15333,11588,12353,9227,7778,5245,6693,2577,5786,1148,3554,62,669,0,0,0,0,0,0
2024-07,경부선,1710,의왕,173,2,6931,3496,14809,12013,31354,33598,28091,28667,13734,9594,10304,6614,10000,6938,10577,7434,9822,8335,9684,7797,11137,9882,17785,13047,28140,17318,24838,28791,12190,21442,8925,13316,6569,12349,4252,10345,1777,7043,108,1239,1,0,0,0,0,0
2024-07,경부선,1711,성균관대,250,2,9748,2352,32913,6329,75027,10059,56956,21370,27351,17480,20207,12359,18879,12893,19910,14110,17029,17151,16652,16490,17982,19642,23386,25747,25338,39864,23400,65547,15686,51493,12442,30522,11349,27214,9171,23331,4182,15953,269,2420,0,0,0,0,0,0
2024-07,경부선,1712,화서,488,35,10069,1162,26801,4221,50611,6804,36304,14032,15150,13052,11761,15154,11152,20503,12117,23569,12777,24997,15051,22325,19836,22547,24116,21890,26383,28963,25750,47602,20893,36120,17676,19617,16355,14643,13851,13215,2349,8552,86,1549,0,0,0,0,1,0
2024-07,경부선,1713,수원,2426,93,21856,5092,41011,32148,80403,54205,66906,70628,44933,63083,43283,65005,47909,64702,52289,75377,55605,72842,56997,70525,68815,74082,85580,82703,86877,95884,96558,128691,76606,93671,82132,55507,64551,41525,55770,34376,21429,23078,642,7067,0,0,0,0,0,0
2024-07,경부선,1714,독산,536,2,8903,2734,20217,14310,50952,50573,47579,105141,23436,45533,17506,15499,17388,12690,18620,13691,17798,14351,16934,12663,19320,16223,32143,19460,61682,27777,72944,49243,30086,36920,18632,20514,12453,21740,7578,20290,2905,11608,152,868,0,0,0,0,0,0
2024-07,경부선,1715,세류,681,1,4333,1122,10373,2867,17318,4395,11006,4481,5913,2949,4895,2982,4422,3116,4417,4077,3842,3235,3601,3693,4677,4199,6377,5551,7293,7821,5486,12627,3199,10375,2581,7095,2325,7025,1266,4965,453,3118,13,981,0,0,0,0,0,0
2024-07,경부선,1716,병점,3267,19,8918,4322,31389,12636,54369,23144,40994,26793,26567,14689,23676,12329,22807,13416,22947,14206,20425,15475,19474,18334,22879,21419,26393,26231,32306,38075,31277,50157,17332,44548,13539,30927,11431,23612,8185,23870,3027,16277,35,6890,0,0,0,0,0,0
2024-07,경부선,1717,세마,239,1,2524,1983,6675,4406,11346,5368,9782,11913,6210,2463,4383,1951,4171,2534,4612,2452,4926,3318,4230,3261,5158,3105,7682,6403,8274,8085,9421,9127,3531,8456,2450,5600,1993,5228,1542,4793,544,2419,25,239,0,0,0,0,0,0
2024-07,경부선,1718,오산대,366,0,3286,1354,8296,2764,13875,4701,9964,8622,6094,2942,4948,3365,4477,3380,4564,3426,5289,4138,4632,4226,5014,3676,6272,6135,8052,8877,9188,12498,3866,10354,3362,6278,3179,5317,2088,4544,1084,2947,82,221,0,0,0,0,0,0
2024-07,경부선,1719,오산,575,5,7453,2247,16854,10549,26377,28264,24616,20195,17513,13767,16788,10742,16131,9729,17114,13045,15748,14072,15017,13751,16818,16832,20249,20924,24560,25655,26516,30564,15892,23685,11725,18391,8579,14472,5160,10593,2167,8171,118,631,0,0,0,0,0,0
2024-07,경부선,1720,진위,31,0,915,381,1668,2923,2951,8941,2654,8239,2034,3055,1875,2331,1906,1115,1804,1057,1880,1316,1754,1216,4022,1506,3712,1692,7882,2485,8569,2408,3320,2356,1801,1768,985,1387,578,1233,248,868,7,49,0,0,0,0,0,0
2024-07,경부선,1721,송탄,204,5,5913,892,8818,3571,12900,6457,11197,9478,9043,4530,7852,4193,8325,4606,8021,5355,7424,5624,6532,6263,7586,7250,9661,8573,9033,11504,9836,12412,5634,12578,4164,9752,3681,7852,2264,7474,1001,6582,63,466,0,0,0,0,0,0
2024-07,경부선,1722,서정리,191,7,5387,3946,12837,9308,18303,17095,16007,21318,13059,7943,12112,6953,11750,8058,13470,10179,12148,10681,12232,9448,14513,11549,19205,16075,32200,19446,20472,19230,11117,18692,9049,14051,7207,10935,4364,10506,2404,8299,108,718,0,0,0,0,0,0
2024-07,경부선,1723,평택지제,20,0,2530,5326,5802,9606,11639,13004,9993,7855,6513,5286,5633,3920,5614,4355,6534,4612,4461,4188,5091,4550,7489,5242,7908,6921,15152,8292,9631,10466,7438,8687,5461,6549,4415,6238,4782,5338,2603,3403,41,434,0,0,0,0,0,0
2024-07,경부선,1724,평택,203,0,8079,2878,15254,9731,26219,17807,25611,25500,22819,19659,21325,17863,20730,20818,21673,22639,22495,21898,22729,23304,23812,25025,26868,28558,31612,34932,29486,35601,21307,25272,21898,21638,15738,15687,12948,12563,6601,7482,140,2516,0,0,0,0,0,0
2024-07,경부선,1725,성환,95,0,2400,778,4149,2828,7209,11653,6806,11566,6604,6012,6249,4625,5506,4496,5608,7304,10003,5910,6974,4861,8361,5582,8248,6529,16941,7719,10286,7685,4488,6446,3750,5717,2060,4906,1264,5388,570,4757,67,1171,0,0,0,0,0,0
2024-07,경부선,1726,직산,88,0,728,330,1993,1455,2745,3284,2218,3465,1810,1254,1574,1074,1513,873,1241,1133,1258,1096,1229,1141,1645,1153,1567,1567,3855,2070,3699,2573,1245,2302,992,1498,802,1225,331,1138,194,980,27,189,0,0,0,0,0,0
2024-07,경부선,1727,두정,1091,4,5583,1720,10812,5113,17737,9171,15465,11650,12293,10880,10246,7930,10031,8081,11716,10054,10343,10961,10129,9545,11841,9608,13389,11670,14472,17142,16006,21413,9139,15889,7504,12118,6197,9368,4687,10051,2412,7727,65,2849,0,0,0,0,0,0
2024-07,경부선,1728,천안,1465,4,3461,983,6113,3231,12038,6828,9694,12679,13281,11980,10396,10253,11857,11867,12095,12752,11652,12561,13757,12113,13119,12804,14468,12973,14032,17302,13508,17591,9574,11064,8048,8696,5955,6792,3538,5488,2159,3187,34,2533,0,0,0,0,0,0
2024-07,경부선,1729,당정,21,0,4689,956,12578,3063,27104,9981,21904,15840,11527,6302,8177,4241,7817,4651,9236,4843,7571,5424,6799,5395,7559,6503,8193,8963,10784,12894,14435,21834,5292,17464,4290,11195,3300,9826,2582,9704,1110,6210,77,1124,0,0,0,0,0,0
2024-07,경부선,1749,서동탄,1,0,1681,14,6600,915,11912,1769,4149,1306,2636,931,1758,730,1820,1019,1501,1104,1557,1165,1445,1395,1794,1883,1743,2242,1981,3115,2238,5584,982,6473,768,2669,502,1942,470,2618,110,1529,1,1067,0,0,0,0,0,0
2024-07,경부선,1750,광명,1,0,31,1563,4176,3614,12682,7703,11178,8476,7016,6281,4214,4159,7815,2776,5577,8321,5212,177,3658,8375,6351,3952,7993,5319,9348,7328,10741,13254,8277,7376,2796,4543,7400,3063,2655,4905,1007,46,1,2,0,0,0,0,0,0
2024-07,경인선,1801,개봉,1627,10,19845,6922,42257,12116,99099,15141,89870,23222,51230,20342,36286,17160,31675,20907,32761,23751,29320,26562,25854,27035,26430,34771,30349,46360,31511,60916,29991,93431,18873,68197,15198,42408,12551,37951,11110,31746,3777,17649,52,1822,1,0,0,0,0,0
2024-07,경인선,1802,오류동,663,5,13452,1926,20485,5366,51726,6021,50513,12565,29984,11219,22009,9312,18990,10278,19959,12450,17029,13641,14099,14550,15216,17464,15565,21512,15500,28631,14126,45000,8461,38191,7064,22487,5749,21204,3872,18225,1583,11252,44,1598,0,0,0,0,0,0
2024-07,경인선,1803,역곡,1340,10,31157,3194,48931,10267,118451,14004,114778,30435,62257,24343,41030,20407,36034,21995,36333,26160,34545,27192,28983,30968,29181,37283,32257,52398,33864,72342,32252,117712,21075,90374,16689,49646,13824,48502,11079,40254,4746,26407,294,3818,0,0,0,0,0,0
