사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-07,2호선,0208,왕십리(성동구청),709,2,6359,878,10222,9082,27081,14806,47392,29131,29847,21820,19261,15417,18673,17079,22424,18689,22669,20188,22721,20499,25811,22547,31769,26772,35403,37910,36393,59891,22860,35060,21828,21972,25090,19870,24134,20152,13417,12051,2576,4758,0,7,0,0,0,0
2024-07,2호선,0209,한양대,3,0,1005,493,2740,6057,6436,11205,10142,41056,6998,51120,6446,20389,10859,12888,14291,19086,15776,17643,13470,12882,17089,10945,24389,10213,39761,10926,33106,12817,16040,8413,10743,6047,10146,6168,8368,6263,4799,4093,1048,1362,0,2,0,0,0,0
2024-07,2호선,0210,뚝섬,15,1,3878,2946,9760,20222,20055,45552,27834,151153,17822,103985,15613,46891,17595,36928,22785,36791,27426,38227,32624,34605,40392,34927,52729,36951,88949,41601,144940,51428,71619,29584,51787,16120,45358,13654,28122,12116,10404,7889,1533,2703,2,26,0,0,0,0
2024-07,2호선,0211,성수,86,2,5993,4353,9094,35753,23492,80902,31432,281387,24821,168757,22932,90314,26664,78717,36743,81073,47883,82984,59216,81328,74138,77946,94288,75730,160373,78189,278654,81896,133488,47989,103528,24411,83765,18684,55679,15706,22965,11609,3504,6157,0,1060,0,0,0,0
2024-07,2호선,0212,건대입구,307,4,15443,1963,23099,16224,57520,26313,98192,59029,66378,50920,40013,41768,38174,45683,43916,52804,47050,59322,48116,56811,53214,63808,63379,75901,76674,104389,86011,155257,63125,104139,65293,64536,70262,60134,69238,54222,42826,31167,7575,12149,7,777,0,0,0,0
2024-07,2호선,0213,구의(광진구청),87,2,14384,1766,28380,30682,75636,18419,126084,41042,75925,22960,39716,21412,31702,20588,34008,24117,32453,27376,29680,28366,32162,36455,42185,42562,46479,61838,46271,105067,26043,72569,20606,48591,17732,45252,15650,42370,8240,23386,1430,7748,1,100,0,0,0,0
2024-07,2호선,0214,강변(동서울터미널),32,1,10399,1938,30794,20050,85452,22538,121145,43387,84676,35244,63704,35561,55261,33353,50848,38347,47577,42289,42932,46260,46004,54769,49775,60607,54938,80916,58114,113773,38550,76951,29620,53696,25060,45393,16297,42332,6542,21476,1055,5682,1,26,0,0,0,0
2024-07,2호선,0215,잠실나루,17,0,3854,3428,14411,20385,41945,24831,51489,42999,33074,26674,25977,19751,25545,17302,23806,21475,22142,22384,23181,19972,26595,20091,35250,21922,41734,29402,33106,43796,15898,31021,11940,19404,8503,19300,6213,17730,2975,9576,495,2900,1,5,0,0,0,0
2024-07,2호선,0216,잠실(송파구청),132,15,13772,5426,56397,35513,137645,88600,187115,189710,133507,171023,88056,135888,89361,129830,99800,128133,107935,131095,117611,129867,141122,139099,172781,155632,214170,199773,252111,260314,170332,166946,173862,108319,160152,99578,107755,94217,32005,46463,5137,9746,0,34,0,0,0,0
2024-07,2호선,0217,잠실새내,70,3,6288,1238,20552,9156,66642,17134,91088,30544,57246,32748,36795,26287,34392,28575,36070,31810,35739,37192,33282,40812,36747,46144,40183,53743,44639,69811,46372,96373,33440,63017,29762,39815,30109,35220,29860,33087,16414,16841,2918,5100,0,13,0,0,0,0
